[2026-03-16 14:09:27] GAME CREATED
[2026-03-16 14:09:32] PLAYER JOINED: rs as red
[2026-03-16 14:09:36] PLAYER JOINED: ly as blue
[2026-03-16 14:09:39] PLAYER START: ly (blue)
[2026-03-16 14:09:41] PLAYER START: rs (red)
[2026-03-16 14:09:41] GAME START: turn order ['red', 'blue']
[2026-03-16 14:10:15] MOVE #127: rs (red) 91->68 [0.05ms]
[2026-03-16 14:10:15] MOVE #128: ly (blue) 26->38 [0.12ms]
[2026-03-16 14:10:15] MOVE #129: rs (red) 77->76 [0.06ms]
[2026-03-16 14:10:15] MOVE #130: ly (blue) 37->26 [0.05ms]
[2026-03-16 14:10:16] MOVE #131: rs (red) 87->75 [0.09ms]
[2026-03-16 14:10:16] MOVE #132: ly (blue) 78->67 [0.06ms]
[2026-03-16 14:10:16] MOVE #133: rs (red) 118->119 [0.11ms]
[2026-03-16 14:10:17] MOVE #134: ly (blue) 40->51 [0.16ms]
[2026-03-16 14:10:17] MOVE #135: rs (red) 117->116 [0.09ms]
[2026-03-16 14:10:17] MOVE #136: ly (blue) 39->28 [0.06ms]
[2026-03-16 14:10:17] MOVE #137: rs (red) 114->105 [0.05ms]
[2026-03-16 14:10:18] MOVE #138: ly (blue) 51->50 [0.09ms]
[2026-03-16 14:10:18] MOVE #139: rs (red) 90->102 [0.06ms]
[2026-03-16 14:10:18] MOVE #140: ly (blue) 38->13 [0.14ms]
[2026-03-16 14:10:18] MOVE #141: rs (red) 76->66 [0.06ms]
[2026-03-16 14:10:19] MOVE #142: ly (blue) 5->2 [0.08ms]
[2026-03-16 14:10:19] MOVE #143: rs (red) 88->101 [0.06ms]
[2026-03-16 14:10:19] MOVE #144: ly (blue) 20->21 [0.04ms]
[2026-03-16 14:10:19] MOVE #145: rs (red) 105->106 [0.08ms]
[2026-03-16 14:10:20] MOVE #146: ly (blue) 26->14 [0.06ms]
[2026-03-16 14:10:20] MOVE #147: rs (red) 66->65 [0.08ms]
[2026-03-16 14:10:20] MOVE #148: ly (blue) 2->4 [0.17ms]
[2026-03-16 14:10:20] MOVE #149: rs (red) 102->115 [0.08ms]
[2026-03-16 14:10:21] MOVE #150: ly (blue) 0->1 [0.04ms]
[2026-03-16 14:10:21] MOVE #151: rs (red) 119->112 [0.05ms]
[2026-03-16 14:10:21] MOVE #152: ly (blue) 13->26 [0.06ms]
[2026-03-16 14:10:21] MOVE #153: rs (red) 75->87 [0.06ms]
[2026-03-16 14:10:22] MOVE #154: ly (blue) 28->16 [0.22ms]
[2026-03-16 14:10:22] MOVE #155: rs (red) 103->104 [0.07ms]
[2026-03-16 14:10:22] MOVE #156: ly (blue) 16->15 [0.10ms]
[2026-03-16 14:10:22] MOVE #157: rs (red) 116->107 [0.05ms]
[2026-03-16 14:10:23] MOVE #158: ly (blue) 52->41 [0.08ms]
[2026-03-16 14:10:23] MOVE #159: rs (red) 106->114 [0.05ms]
[2026-03-16 14:10:23] MOVE #160: ly (blue) 1->0 [0.04ms]
[2026-03-16 14:10:24] MOVE #161: rs (red) 113->91 [0.05ms]
[2026-03-16 14:10:24] MOVE #162: ly (blue) 26->13 [0.04ms]
[2026-03-16 14:10:24] MOVE #163: rs (red) 101->89 [0.11ms]
[2026-03-16 14:10:25] MOVE #164: ly (blue) 8->9 [0.05ms]
[2026-03-16 14:10:25] MOVE #165: rs (red) 112->103 [0.07ms]
[2026-03-16 14:10:25] MOVE #166: ly (blue) 21->22 [0.05ms]
[2026-03-16 14:10:25] MOVE #167: rs (red) 65->76 [0.07ms]
[2026-03-16 14:10:26] MOVE #168: ly (blue) 15->28 [0.06ms]
